Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,52.540001,67.389999,49.369999,54.750000,54.750000,46412600
2021-02-01,56.419998,63.500000,42.060001,46.930000,46.930000,35122800
2021-03-01,49.220001,50.869999,36.570000,49.630001,49.630001,58181500
2021-04-01,50.700001,51.000000,40.880001,41.240002,41.240002,42921800
2021-05-01,41.529999,41.930000,34.180000,39.580002,39.580002,32609600
2021-06-01,39.930000,48.349998,37.310001,44.840000,44.840000,36531600
2021-07-01,44.970001,46.799999,36.020000,40.250000,40.250000,26284400
2021-08-01,40.810001,42.669998,31.680000,36.970001,36.970001,28936600
2021-09-01,37.049999,38.779999,32.880001,34.590000,34.590000,16795200
2021-10-01,35.090000,41.759998,31.400000,41.549999,41.549999,20705500
2021-11-01,42.000000,43.139999,35.939999,37.939999,37.939999,26440000
2021-12-01,38.500000,39.230000,28.799999,31.290001,31.290001,24733300
2022-01-01,31.590000,32.169998,23.250000,27.990000,27.990000,22630800
2022-02-01,27.760000,32.250000,25.100000,31.660000,31.660000,14952400
2022-03-01,31.620001,37.840000,27.549999,35.360001,35.360001,31278500
2022-04-01,36.549999,38.430000,27.129999,27.520000,27.520000,15960800
2022-05-01,27.290001,33.400002,22.150000,32.060001,32.060001,20611700
2022-06-01,32.000000,36.360001,27.840000,31.139999,31.139999,17224600
2022-07-01,30.809999,38.180000,26.860001,36.889999,36.889999,18146100
2022-08-01,36.689999,47.689999,35.310001,45.169998,45.169998,38283400
2022-09-01,43.750000,47.160000,35.740002,37.250000,37.250000,25501700
2022-10-01,37.770000,39.450001,27.379999,33.900002,33.900002,22351700
2022-11-01,35.000000,38.330002,32.110001,35.849998,35.849998,20473400
2022-12-01,36.520000,37.360001,29.030001,30.900000,30.900000,15066800
2023-01-01,31.480000,44.070000,30.209999,42.070000,42.070000,26776700
2023-02-01,42.169998,43.360001,36.209999,39.750000,39.750000,17987500
2023-03-01,40.730000,43.700001,34.310001,39.810001,39.810001,29612600
2023-04-01,40.639999,41.299999,35.400002,37.419998,37.419998,13326800
2023-05-01,37.630001,45.290001,34.759998,41.799999,41.799999,26188000
2023-06-01,41.900002,41.919998,38.900002,39.880001,39.880001,5645500
