Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,17.940001,18.820000,17.580000,17.709999,14.749708,3968100
2021-02-01,17.940001,19.750000,17.459999,18.680000,15.661865,5178200
2021-03-01,18.950001,20.950001,18.840000,19.559999,16.506599,5560300
2021-04-01,19.610001,21.190001,19.530001,21.040001,17.864332,3192500
2021-05-01,21.150000,21.690001,20.250000,21.670000,18.509895,4373100
2021-06-01,21.750000,23.350000,21.650000,22.559999,19.384998,4666000
2021-07-01,22.600000,23.490000,21.940001,23.180000,20.027395,2938700
2021-08-01,23.230000,23.459999,22.070000,22.629999,19.658167,3069100
2021-09-01,22.639999,22.790001,20.969999,21.030001,18.370659,3276500
2021-10-01,21.430000,22.230000,21.020000,21.860001,19.207060,3139500
2021-11-01,21.840000,23.010000,21.549999,22.219999,19.634220,2989400
2021-12-01,22.500000,25.900000,21.930000,25.770000,22.895479,4673700
2022-01-01,25.760000,26.129999,22.250000,23.190001,20.709057,4044400
2022-02-01,23.200001,23.400000,19.740000,21.190001,19.021723,5381000
2022-03-01,21.219999,22.420000,20.910000,22.020000,19.880003,6492200
2022-04-01,22.160000,23.379999,20.990000,21.040001,19.106281,3722300
2022-05-01,21.090000,21.370001,18.230000,20.290001,18.525148,5410700
2022-06-01,20.299999,20.520000,17.730000,18.840000,17.311449,5637300
2022-07-01,19.100000,21.129999,18.480000,20.950001,19.381790,3656600
2022-08-01,21.000000,21.150000,19.059999,19.070000,17.758251,4019500
2022-09-01,19.070000,19.379999,15.090000,15.500000,14.521676,5264700
2022-10-01,15.610000,17.740000,15.020000,17.590000,16.596310,4777400
2022-11-01,17.690001,19.110001,16.520000,18.990000,18.055857,4361200
2022-12-01,19.000000,20.120001,18.170000,18.500000,17.709360,4038900
2023-01-01,18.750000,19.520000,16.170000,16.990000,16.371717,7868100
2023-02-01,17.000000,17.240000,13.640000,13.680000,13.261485,5316500
2023-03-01,13.550000,13.810000,11.450000,12.630000,12.318311,8363100
2023-04-01,12.620000,12.750000,11.560000,11.940000,11.740791,4036800
2023-05-01,11.950000,12.100000,10.840000,11.690000,11.587365,6040700
2023-06-01,11.660000,12.330000,11.500000,12.220000,12.220000,1110700
