Date,AZN,CSIQY,CSIQ,GOOD,TJX,ITUB
2021-01-01,47,180,54,14,61,3
2021-02-01,45,195,46,15,63,3
2021-03-01,47,189,49,16,63,3
2021-04-01,50,179,41,17,68,3
2021-05-01,54,173,39,18,65,4
2021-06-01,57,168,44,19,65,4
2021-07-01,54,161,40,20,66,4
2021-08-01,55,149,36,19,70,4
2021-09-01,57,164,34,18,64,4
2021-10-01,60,141,41,19,63,3
2021-11-01,52,127,37,19,67,3
2021-12-01,56,127,31,22,73,3
2022-01-01,56,126,27,20,70,4
2022-02-01,58,116,31,19,64,4
2022-03-01,64,116,35,19,59,5
2022-04-01,64,104,27,19,59,4
2022-05-01,65,90,32,18,62,5
2022-06-01,64,92,31,17,54,4
2022-07-01,64,97,36,19,60,4
2022-08-01,61,97,45,17,61,4
2022-09-01,54,89,37,14,61,4
2022-10-01,57,88,33,16,71,5
2022-11-01,66,96,35,18,79,4
2022-12-01,66,102,30,17,78,4
2023-01-01,64,102,42,16,81,4
2023-02-01,64,98,39,13,75,4
2023-03-01,69,98,39,12,78,4
2023-04-01,73,94,37,11,78,5
2023-05-01,73,82,41,11,76,5
2023-06-01,73,85,39,12,78,5
