Date,AZN,CSIQY,CSIQ,GOOD,TJX
2021-01-01,237745900,1800,46412600,3968100,114665500
2021-02-01,197416300,1800,35122800,5178200,140957500
2021-03-01,251940500,1300,58181500,5560300,174890100
2021-04-01,216081400,2500,42921800,3192500,94458200
2021-05-01,143126800,5300,32609600,4373100,147324700
2021-06-01,141721000,3700,36531600,4666000,155188600
2021-07-01,387383900,2500,26284400,2938700,102325100
2021-08-01,135632000,3100,28936600,3069100,138900600
2021-09-01,137899100,3100,16795200,3276500,132568700
2021-10-01,82631700,9200,20705500,3139500,131749400
2021-11-01,113414500,5300,26440000,2989400,164528700
2021-12-01,95474000,7600,24733300,4673700,135121800
2022-01-01,110112100,6400,22630800,4044400,133442100
2022-02-01,192564500,14900,14952400,5381000,131708900
2022-03-01,176235500,4100,31278500,6492200,194452100
2022-04-01,141104500,2400,15960800,3722300,131864900
2022-05-01,145315300,12900,20611700,5410700,198132800
2022-06-01,140836100,17800,17224600,5637300,122384600
2022-07-01,121729100,3400,18146100,3656600,115224300
2022-08-01,138376400,5000,38283400,4019500,126515000
2022-09-01,157935800,3500,25501700,5264700,102154500
2022-10-01,134408500,5100,22351700,4777400,104673700
2022-11-01,111519700,3600,20473400,4361200,132961000
2022-12-01,79839700,2600,15066800,4038900,103758300
2023-01-01,120002700,3100,26776700,7868100,107033800
2023-02-01,99597200,4200,17987500,5316500,112691600
2023-03-01,99862500,4100,29612600,8363100,112618800
2023-04-01,84270500,2300,13326800,4036800,77065000
2023-05-01,75410000,9300,26188000,6040700,115566600
2023-06-01,20500500,700,5645500,1110700,20232200
